"#daihyo 好ゲームしろとかもう思ってないから、せめて未来に向けていい形を作ってほしいね。せめて未来に活きるような。","22:05:06"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:07"
"⚽パラグアイ戦はじまる。ワクワクさせておくれよ。  #daihyo  #日本代表","22:05:08"
"そうだ、そんぐらいの大ナタなんだよ必要なのは#サッカー#サッカー日本代表#daihyo","22:05:10"
"始まったずら。#daihyo","22:05:10"
"この解説ってことはパラグアイは偽名だね。 #daihyo","22:05:10"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:11"
"RT @gekisaka: 【テキスト速報】日本 22:05 パラグアイhttps://t.co/S2BoO0mB4s #gekisaka #daihyo https://t.co/UGNfR83uSd","22:05:11"
"サッカー！！！絶対勝つ！！大丈夫！！！#daihyo","22:05:11"
"はじまった#daihyo","22:05:11"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:11"
"RT @GAMBA_OFFICIAL: 本日の日本代表vsパラグアイ代表との国際親善試合に東口選手が先発出場！！ワールドカップ本大会出場に向けて素晴らしいパフォーマンスを期待しています！！また14日から「東口選手応援キャンペーン」も実施！こちらもお願いします！https:/…","22:05:11"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:11"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:12"
"さっ、代表戦見よっか🇯🇵🇵🇾#daihyo","22:05:12"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:12"
"スタメン10人入れ替え、ブレブレ😧#サッカー日本代表 #パラグアイ戦 #daihyo","22:05:12"
"RT @jfa_samuraiblue: 【試合開始まであと30分！】国際親善試合#SAMURAI BLUE vs パラグアイ代表🇵🇾6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #…","22:05:12"
"キックオフ#JPNPAR #JPNvPAR 🇯🇵🆚🇵🇾 #daihyo #ntv","22:05:12"
"今日のスタメンには期待してる(｀・ω・´) #daihyo","22:05:12"
"国際親善試合SAMURAI BLUE (日本代表) ０‐０ パラグアイ代表前半戦キックオフ！#jfa #daihyo #JPN","22:05:12"
"ｵｰﾆｨｯﾎﾟｰｰｰ #soccer #daihyo #ntv","22:05:12"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:13"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:13"
"キックオフしたった #daihyo","22:05:13"
"解説🎙松木さん外れたのね…😔#jfa #daihyo #soccer #サッカー日本代表 #サッカー #JPN","22:05:13"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:13"
"しっかりと槙野はホンダの隣ですね#daihyo","22:05:14"
"RT @SoccerKingJP: 🇯🇵スタメン発表🇵🇾日本代表、パラグアイ戦のスタメン発表！　山口蛍がキャプテン、香川真司が先発復帰🔻記事はこちらhttps://t.co/xG9igq2oHu🗣編集部より「#日本代表 vs #パラグアイ代表 戦は、日本時間22：…","22:05:14"
"本田ベンチか#daihyo","22:05:14"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:14"
"RT @jfa_samuraiblue: 【試合開始まであと10分！】⚽国際親善試合#SAMURAIBLUE vs パラグアイ代表🇵🇾6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #…","22:05:15"
"【日本－パラグアイ】日本ボールで前半キックオフ！▼▼試合速報▼▼https://t.co/ck0YPU3NS4#daihyo #日本代表 #WorldCup #ワールドカップ #ワールドカップ2018 #JPN #西野ジャパン応援パラグアイ戦","22:05:15"
"パラグアイ戦はじまた。ずいぶんメンツ入れ換えてきたのねー #daihyo","22:05:15"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:15"
"RT @chidajunsei3163: パラグアイ戦スタメン#SAMURAIBLUE #daihyo https://t.co/PU254yMH65","22:05:15"
"スターティングメンバー１０人が違っています（動揺） #daihyo","22:05:15"
"はじまた #daihyo","22:05:16"
"これ武藤の負担でかすぎじゃね？#daihyo","22:05:16"
"スタメンがけっこうかわってる。なんだかんだ期待してますが、西野監督お願いします#daihyo","22:05:16"
"【国際親善試合2018】#日本 🇯🇵 VS #パラグアイ 🇵🇾キックオフ…🙌‼️#daihyo #日本代表 https://t.co/ibkN70ip6M","22:05:16"
"きっこふ！ 日本対パラグアイ #日本代表 #パラグアイ代表 #daihyo","22:05:17"
"西野ジャパンっていうかホンダジャパンが勝つとしたら今日が最後のチャンスだぞ #daihyo","22:05:17"
"ケイスケホンダおらんやんけ！これは朗報 #daihyo #ntv","22:05:17"
"RT @VFKDAZN1: このタイミングで日テレで #daihyo とか誰得だよ。 https://t.co/vqYdhc1gHg","22:05:19"
"久々にキックオフから試合見るよ #daihyo","22:05:19"
"Ｗ杯直前の日本代表は、いつもいつだって毎回そうですものねっ f^□^;) そして、ここからぁ挑むっ。。。！RT @movieslife: パラグアイ戦いよいよですな。なんかワロけるけどｗｗｗ #daihyo #サッカー 失うものは何も無いのがいいよねｗ","22:05:19"
"驚きましたって中2日で本番前にスタメンで出した選手出すわけねぇだろ。#daihyo","22:05:19"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:19"
"さあ、はじまった！#daihyo","22:05:19"
"RT @jfa_samuraiblue: 【キックオフ！】国際親善試合#SAMURAIBLUE 0-0 パラグアイ代表🇵🇾📺日本テレビ系で全国生中継大会情報▷https://t.co/zhOvP9vUpJ#jfa #daihyo #夢を力に2018","22:05:19"
"RT @jfa_samuraiblue: 【#SAMURAI BLUE スタメン発表！】GK東口、DF遠藤、植田、昌子、酒井(高)、MF柴崎、山口、武藤、香川、乾、FW岡崎6/12(火)22:05キックオフ予定📺日本テレビ系で全国生中継大会情報▷https://t.co…","22:05:20"
"RT @FootballTribeJP: 【🌍W杯プレゼント企画第4弾🏆】✔️フォロー🔄リツイート👕ユニフォームが当たる！🇯🇵今回は日本代表のキャプテン長谷部誠（Lサイズ）！締め切りは12日(火)。発表はDMにて当選者にご連絡します。たくさんのご応募お待ちしてお…","22:05:20"
"RT @livedoornews: 【速報】日本代表スタメン発表！▽GK12 東口順昭▽FP21 酒井高徳3 昌子源2 植田直通6 遠藤航7 柴崎岳16 山口蛍14 乾貴士10 香川真司13 武藤嘉紀9 岡崎慎司#daihyo","22:05:20"
