うどん,2018-06-12 22:05:51,0
上がらない,2018-06-12 22:05:51,-0.9739845
おっそ,2018-06-12 22:05:51,0
うまい,2018-06-12 22:05:52,0
いい,2018-06-12 22:05:52,0
いいじゃん,2018-06-12 22:05:55,0
お,2018-06-12 22:05:55,0
前半０分で失点するところだったぜ,2018-06-12 22:05:55,-0.4669646666666667
お,2018-06-12 22:05:55,0
お,2018-06-12 22:05:55,0
いけ,2018-06-12 22:05:55,0
川島ギャグキャラすぎるww,2018-06-12 22:05:55,-0.433937
まえまえ,2018-06-12 22:05:55,0
前線がおせー,2018-06-12 22:05:56,-0.537101
え,2018-06-12 22:05:57,0
んー戻りが速い,2018-06-12 22:06:00,0
>>1 9508 チヨン氏 ね,2018-06-12 22:06:00,-0.232145
いいじゃん,2018-06-12 22:06:00,0
いいよ,2018-06-12 22:06:00,0
乾ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!,2018-06-12 22:06:00,-0.180291
おい,2018-06-12 22:06:00,0
え,2018-06-12 22:06:01,0
おおお,2018-06-12 22:06:01,0
おｋ,2018-06-12 22:06:02,0
JAXA,2018-06-12 22:06:02,0
ええ,2018-06-12 22:06:07,0
乾絶対打つよね,2018-06-12 22:06:07,-0.5166796666666666
宇宙,2018-06-12 22:06:07,-0.515475
ｋｓ,2018-06-12 22:06:07,0
山口メンバ０,2018-06-12 22:06:07,0
宇宙へ,2018-06-12 22:06:07,-0.515475
調子こくなｗｗｗｗｗｗｗｗｗｗｗｗｗ,2018-06-12 22:06:07,-0.8050373333333334
蛍砲,2018-06-12 22:06:07,-0.39496
宇宙,2018-06-12 22:06:07,-0.515475
今日Bチームでしょ,2018-06-12 22:06:07,-0.044458
おっしいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい！！！！,2018-06-12 22:06:11,0
山口いらねー,2018-06-12 22:06:11,0
宇宙,2018-06-12 22:06:11,-0.515475
アホが山口,2018-06-12 22:06:11,0
HSB,2018-06-12 22:06:12,0
まあもう打っていけ,2018-06-12 22:06:12,-0.7023380000000001
見飽きたわｗ,2018-06-12 22:06:12,0
下手くそｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,2018-06-12 22:06:12,0
